Question,Answer,Round,Used,UK
"In media, what newspaper stopped publishing in 2011 after being central in the phone hacking scandal?",News of the World,3,1,1
"In internet culture, what does the abreviation brb stand for?",Be right back,1,,
"In technology, the term emoji comes from combining the words picture and character in which language?",Japanese,5,,
"In poetry, from which animal did the Owl and the Pussycat purchase the ring from, so that they could get married?",Pig / Piggy-wig,4,,
"In television, in the 2005 revival of Doctor Who, which actor played the role of the ninth Doctor?",Christopher Eccleston,4,,
"In currency, 1000 pence is equal to how many pounds?",£10,3,,
"In children's literature, Astrid Lindgren's famous red headed, stocking wearing character is known by what name?",Pippi Longstocking,5,1,
"In children's literature, from which country does the character Paddington Bear originate?",Peru,5,1,
"In sport, Sebastian Vettel and Charles Leclerc are the drivers for which Formula 1 team?",Ferrari,6,,
"In sport, who did England beat in a tied super over to win the 2019 Cricket World Cup?",New Zealand,5,,
"In literature, the novels Great Expectations and Bleak House were written by which author?",Charles Dickens,5,1,
"In music, Dark Side of the Moon and The Wall are albums made by which artist?",Pink Floyd,4,,
"In music, the Thin White Duke, Ziggy Stardust and Aladdin Sane are alter egos of which singer?",David Bowie,5,,
"In chemistry, which element in the periodic table is denoted by the letter K?",Potassium,5,,
"In nature, a group of owls is called a what?",Parliament,6,,
"In games, excluding sequels and spin-offs, the Final Fantasy series has had how many original titles?",15,7,,
"In history, who was the third wife of Henry VIII?",Jane Seymour,6,1,
"In music, the score for the ballet called The Nutcracker was written by which Russian composer?",Tchaikovsky,final,1,
"In film, what was the first feature-length animation released by Walt Disney Studios?",Snow White and the Seven Dwarves,5,1,
"In sport, who is the current manager of the England Men's football team?",Gareth Southgate,4,1,
"In language, what is the german word used to describe a feeling of pleasure at someone else's misfortune?",Shadenfreude,6,,
"In history, what is the name of the volcano that erupted in 79AD and destroyed the city of Pompeii?",Vesuvius,4,1,
"In geography, which is the largest ocean in the world?",Pacific,5,,
"In history, the assassination of Franz Ferdinand started a series of events that led to which global conflict?",World War I,5,,
"In television, the show Fraser starring Kelsey Grammar was a spin-off of which series?",Cheers,4,,
"In geography, which is the largest completely landlocked country?",Kazakhstan,6,,
"In music, the waltz is a ballroom and folk dance typically associated with what time signature?",3:4/triple,final,,
"In motoring, the Aventador and Murcielago are sports cars produced by which Italian manufacturer?",Lamborghini,6,,
"In politics, who succeeded Margaret Thatcher as Prime Minister of the United Kingdom?",John Major,3,,
"In fashion, Sophia Webster is most well known for her line of which article of clothing?",Shoes,6,,
"In nature, lemurs are mammals native to which island?",Madagascar,final,1,
"In music, the Beatles caused outrage by claiming they were bigger than which deity, Jesus or Ganesh?",Jesus,1,1,
"In boating, what S is the side of a vessel that is on the right when one is facing forward?",Starboard,final,,
"In Romanian history, Vlad III or Vlad the Impaler is seen as the major inspiration for the titular character in which Bram Stoker novel?",Dracular,final,,
"In music, what is the name of the suprrise album Beyoncé released in 2016?",Lemonade,6,1,
"In television, who played the role of Robert Baratheon in the first series of the HBO show Game of Thrones?",Mark Addy,7,,
"In culture, what B is the name of the coming of age ritual for boys in the Jewish faith?",Bar mitzva,6,1,
"In banking, which bank was forced to split with TSB in 2013?",Lloyds,1,,1
What was the final Apollo mission where astronauts walked on the Moon's surface?,18,final,1,
"In film, who directed Jojo Rabbit, Hunt For the Wilderpeople and Thor: Ragnarok?",Taika Waititi,7,,
"In American culture, 7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?",The Simpsons Movie,2,1,
"In modern history, what famous ship wreck was discovered in 1985 in an expedition led by Robert Ballard, 73 years after it sank?",Titanic,5,,
"In music, the 2010 hit, ”Dog Days are Over” is a song by what band “Florence and the” what?",Machine,2,,
"In religion, a famous passage from the Bible, in the Twenty-third Psalm begins with the line “The Lord is my”?",Shepherd,3,,
"In literature, a famous Shakespearean sonnet begins with the question “Shall I compare thee to” what?",Summer's day,4,,
"A fixture in urban settings, ""Columba livia"" is the scientific name for what species of bird?",Pigeons,7,,
"In measurements, a hectare is a metric unit used to measure what?",Area,6,,
"In film, the mascot to the animation studio Pixar, Luxo Junior, is a what?",Desk Lamp,7,,
"In culture, the popular drinking game beer pong is typically played with a ball from what sport?",Table tennis,3,1,
"In terminology, a tune or song that becomes stuck in one’s head is colloquially known as an ear what?",Worm,1,,
"In computing, a web site that no longer exists will often prompt the phrase “Not Found” preceded by what error code number?",404,1,,
"In music, what C is the section of a song that is traditionally repeated after every verse? ",Chorus,1,,
"In American Politics, which political party is seen as the main opposing rival of the Democrat Party?",Republican Party,1,1,
"In food, from which country does the cheese, Camembert, originate?",France,7,,
