Question,Answer,Round,Used,UK
What tool is used to check if a surface is level and contains a glass tube with liquid and an air bubble?,Spirit level,2,,
"In history, papyrus was used by the Egyptians to make a type of what?",Paper,2,,
"In geography, Wilts is the abbreviation of which English county?",Wiltshire,2,,1
"In motoring, drivers who accelorate rapidly are said to be putting their what down?",Foot,2,,
"In the Japanese martial of Kendo, competitors use which items as weapons, feather dusters of bamboo swords?",Bamboo swords,2,1,
In TV in 2010 which actress left the cast of Eastenders after playing Peggy Mitchell for 16 years?,Barbra Windsor,3,,1
"In spelling, the word salt, as in salt and pepper, is an anagram of which word meaning final?",Last,2,1,
"In British wildlife, what D is the general name given to animals, the males of which normally grow branching antlers?",Deer,2,,
"In customs, children are lifted up by their hands and feet and given bumps on which annual occasion in their life?",Birthday,2,1,
"In Art, in a piece of work known as a fresco, the paint is applied to which surface? Plaster or paper",Plaster,2,,
"In cinema, the actor who starred in the films Plutoon, Wallstreet and Hot Shots, has the professional name; Charlie what?",Sheen,2,,
"In European geography, what L is the name of a port and capital city at the mouth of the river Tagus on the Iberian peninsular?",Lisbon,2,1,
"In retail, the generic name for a piece of plastic that earns discounts and other rewards for a particular store is a Discount what?",Card,2,,
"In sport, the avian terms ""Birdy"", ""Eagle"" and ""Albatross"" are used in which game?",Golf,2,,
"In social history, the marriage bar introduced by many professions in UK in the early 20th century banned which gender from working after they were wed?",Women,2,1,
"In cookery, the dessert made by filling a case of shortcrust pastry which golden syrup and bread crumbs is known as treacle what?",Tart,2,,
"In the animal kingdom, even though the slow worm resembles a small snake, it's actually a type of what? Lobster or lizard",Lizard,2,,
"In geography, the new towns of Hatfield and Welwyn Gardens City are both in which shire country in southern England?",Hartfordshire,3,1,1
"In film, the 2010 adaptation of a graphic novel starring Bruce Willis and Helen Mirren as retired CIA operates is named after which colour?",Red,3,,
"In packaging, which A is a term for a pressurised can containing liquid such as deoderant or paint, mixed with a propellent that produces a fine spray?",Aerosol,3,,
In a radio show broadcast from 1947-1976 the panel tried to identify a mystery object by asking a maximum of how many questions?,20,3,1,1
"In politics, a group of unofficial advisors to a leader, known to influence policy informally is referred to as a kitchen what?",Cabinet,3,,1
"In stunts, moves known as stoppies and nose wheelies are usually performed by someone riding what? A motorbike or a boat",A motorbike,3,1,
"In alcoholic drinks, what name is given to the Greek white wine which is flavoured with pine resin?",Retsina,6,,
"In the children's television program The Tweenies, what animal was the character Doodles?",A dog,3,,1
"In theatre, the 1903 play by George Bernard Shaw is entitled Man and what? Batman or Superman",Superman,3,,
"In schools in England, Wales and Northern Ireland; the general certificate of secondary education is commonly known by what abreviation?",GCSE,3,1,
"In pop music, the 2005 single by Tony Christie that spent 7 weeks at number 1 in the UK was called Is This The Way To Where?",Amarillo,3,,
"In transport, what P is the name for a rotating device with blades rotating from a central hub, that produces thrust to move ships and aircraft?",Propellor,3,1,
"In maths, what is 31 multiplied by 2?",62,3,,
"In medicine, epistaxis is the medical term for the bleeding from which facial feature?",Nose,6,,
"In british wildlife, the species of butterfly with mainly orange and black wings with white spots at the tips is called the painted what?",Lady,4,,1
"In phrases, a recounting of personal woe, in an attempty to gain sympathy is known as what? A snivel saga or sob story?",Sob story,4,,
"In film, the 1988 comedy starring Michael Caine and Steve Martin as rival conmen trying to live off rich women is called Dirty Rotten what?",Scoundrels,4,1,
"In education, what E is defined as the study of the production and distribution of money and resources?",Economics,4,,
"In the children's novel The Wind and the Willows, according to the character Ratty, there is nothing better than simply messing about in what?",Boats,7,,
"In pop music, the song California Gurls by Katy Perry officially featured which other artist?",Snoop Dogg,4,,
"In US politics, the movement that emerged in 2009 to oppose increase government spending has what name? The Tea Party or The Coffee Morning? ",The Tea Party ,4,1,
"In geography, which city in Cambridgeshire is the only one in the UK with a 3 letter name?",Ely,6,,1
"In the kitchen, what L is term for a closet or small room used for storing food?",Larder,4,,
"In TV comedy, what 1988 ITV series featured puppet caricatures of contemporary celebrities and public figures, including Margaret Thatcher?",Spitting Image,4,1,1
"In farming, the Vietnamese pot belly, that is sometimes kept as a pet, is a breed of what animal?",Pig,4,1,
"In tennis, what word for a mistake or imperfection is used for an invalid serve?",Fault,6,,
"In geometry, a rhombus has how many sides?",4,5,,
"In art, which surealist painter born in 1904, was known for sporting a flamboyant upturned moustache?",Salvador Dali,5,,
"In history, the wild west outlaws known as Butch Cassidy and the Sundance Kid belonged to a gang called The Hole In The what?",Wall,5,,
"In food, the south east Asian dish called satay, is usually served with a dipping sauce made of from which legume?",Peanuts,5,1,
"In expressions, a long awaited indication that a period of hardship is drawing to a close is often refered to as a light at the end of the what?",Tunnel,5,,
"According to a common urban myth, the sewers of New York City are populated by which creatures? Aardvarks or alligators",Alligators,5,1,
"In seismology, what A is the term for the smaller tremors that occur following a large earthquake?",Aftershock,5,1,
"In Greek mythology, the female monsters called gorgons had snakes on their heads instead of what?",Hair,5,1,
"In literature, the novel War and Peace by Leo Tolstoy, includes frequent mentions of which historical figure? Queen Victoria or Emperor Napoleon",Emperor Napoleon,5,,
"In the US military, what J is the name given to the four wheeled vehicle developed during the second world war and designed to travel over rough terrain?",Jeep,6,,
"In geography, what country is the most North Easterly in Africa?",Egypt,6,,
"In definitions, people described as sinistral are what? Left handed or short sighted",Left handed,6,,
"In science, what C is the common name for a poison also known as prussic acid and often used in crime fiction to dispatch the victim?",Cyanide,6,,
"In modern literature, which adjective meaning relating to the sun is the single word title of a 2010 novel my Ian McEwan?",Solar,6,,
"In maths, a graph in which the length of a series of rectangles is proportional to the quantity each one represents is called a what? Bar chart or log jam",Bar chart,6,1,
"In tailoring, which word precedes mending to form a term for the repair of clothes that is done so well little or no sign of the work can be seen?",Invisible,6,,1
"In Europe in the middle ages, what G was a general term for an association of merchants or craftsmen formed to protect their common interests?",Guild,6,1,
"In seafood, Whitstable Natives that are fished in Kent are a variety of which edible mollusc?",Oysters,6,,
"In literature, the 1845 poem entitled The Raven was written by which American author known for his horror stories?",Edgar Allen Poe,7,,
"On a map of the UK, what L is the name of a city just east of the M1 about half way along a straight line from London to Manchester?",Leicester,7,,1
"In the theater, small binoculars designed to be used for watching a show are usually known as opera what?",Glasses,7,,
"In football, a club based in Zurich that is one of the most successful in Switzerland is named after which insects wasps or grass hoppers?",Grass hoppers,7,,
"In British politics, the 20th century prime minster with the first names Clement Richard, had what surname?",Attlee,7,,1
"In medicine, what A is the name of a condition that occurs when there is insufficent blood flow to the heart causing severe chest pains?",Angina,7,,
"In maths, what's 39 multiplied by 3?",117,7,,
"In the history of dieting, it said that towards the end of his life, William the Conqueror tried to lose weight by consuming only what? Alcohol or snails",Alcohol,7,,
"In agriculture, a traditional english sea planting rhyme goes ""one for the rook, one for the crow, one to rot and one to "" what?",Grow,7,,
"In sport, what P is an alternate name for boxing that derives from the latin term for fighting with the fists?",Pugilism,7,,
"In crime and punishment, which prison for male inmates is situated at Princetown in Devon?",Dartmoor,7,,1
"In science, 32 degrees is a warmer temperature on which scale, fahrenheit or celsius?",Celsius,7,,
"In the animal kingdom, which 5 letter word used for female frogs and salmon means to lay eggs in water?",Spawn,7,,
"In the arts, in the name of the professional body, the acronym RIBA is short for the Royal Institute of British what?",Architects,7,,
"In nature, what G is the general term for abnormal growth such as the oak apple that form on trees?",Galls,7,,
"In languages, whats the name of the last letter of the Greek alphabet?",Omega,final,,
"In the American newspaper comic strip created by Jim Davis, what is the name of Jon Arbuckle's orange tabby cat?",Garfield,7,,
"In music, what T is the term for a range of the adult male voice that is used to describe the singer Russel Watson?",Tenor,7,,
"In money, before decimalisation in the UK, which unit of currency was equal to 240 pence?",One pound,final,1,
"In nature, the three spined and the nine or ten spined are two species of which small fish, commonly found in British streams and brackish waters?",Stickleback,final,1,1
"In literature, which late Swedish writer, whose novels include The Girl With The Dragon Tattoo, was named in 2010 by the Bookseller Magazine, as Europe's best selling author?",Stieg Larsson,final,1,
"In film quotations, ""the greatest trick the Devil ever pulled, was convincing the world he didn't exist"", is a line spoken by Kevin Spacey in which cult 1995 thriller?",The Usual Suspects,final,,
"In optics, what is the opposite of white?",Black,1,,
"In tourist attractions, completed in 1889, the Eiffel tower is an iconic landmark in which European city?",Paris,1,1,
"In clothing, men usually buy socks to fit which parts of their bodies?",Feet,1,1,
"In travel, in wintery conditions the so called grit spread on road surfaces is actually what? Rock salt or gravy granules",Rock salt,1,1,
"In literature, the 16th and 17th century playwrite with the surname Shakespeare, had what first name?",William,1,,
"In language, the expression commonly used to warn others that someone may be listening is the walls have what?",Ears,1,,
"In a 1993 film, directed by Steven Spielberg, what D is the general term for the prehistoric creatures that attack the visitors to Jurassic Park?",Dinosaurs,1,,
"In maths, what is 12 - 4?",8,1,1,
"In the kitchen, washing up gloves are usually made from which material? Rubber or leather",Rubber,1,,
"In shopping, a kind of second hand market is named after which small blood sucking insect?",Flea,2,,
"In British customs, another name for Shrove Tuesday named after the food widely eaten before the start of lent is what day?",Pancake day,2,1,
"In science, the term hydro as in hydrotherapy and hydroelectricity is taken from a Greek word meaning what? Wind or water",Water,2,,
"In cinema, the 2009 film starring Michael Sheen as the football manager Brian Clough, is entitled The Damned what?",United,2,,
"In communication, what L goes before hailer and speaker to give the names of two devices for amplifying the voice?",Loud,2,1,
"In painting and writing, the taking of liberties with reality for the sake of more pleasing results is most commonly known as artistic what?",Licence,2,,
"In clothing, the word pinny is a abreviation of what protective gaurment?",Pinafore,6,,1
"In games, scrabble is played on a board that is what shape? Triangular or square",Square,2,1,
"In the words of the traditional children's song, she'll be coming round the what when she comes?",Mountain,2,,
"In human anatomy, which part of the nose is named after the type of engineering structure that carries a road across a river?",Bridge,2,,
"In maths, what is 10 multiplied by 15?",150,2,,
"In Australia and New Zealand, what P is a mildly derogatory term for a British person?",Pomme / Pommy,2,,
"In expressions, someone that reminisces about old times often in a nostalgic or sentimental way is said to take a trip down what lane?",Memory,2,,
"In nutrition, in the days before running a marathon competitors are advised to load up on which of the three major food groups?",Carbohydrates,2,,
"In cinema, Tom Cruise played a Vietnam war veteran in a 1989 film entitled Born of the 4th of which month?",July,2,,
"In communications, which word for the humming sound made by a bee in flight is also an informal term for a telephone call?",Buzz,2,,
"In construction, what D is the name of the architectural feature knobs and knockers are normally attached to?",Door,2,,
"In golf, what word is normally shouted to warn players of an approaching ball?",Fore,2,1,1
"In Canadian geography, the provincial capital of British Columbia is named after which 19th century queen?",Victoria,2,,
Which word meaning handiness preceeds store to mean a shop in a local area that's usually open for long hours?,Convinience,3,,
"In language, the belief that it takes a long time to change behaviour is expressed by the common saying old habbits die what?",Hard,3,,
"In a well known nursury rhyme, what C is used to described Mary whose garden grows with bells and cockel shells?",Contrary,3,,
"In military history, the phillipines were occupied by Japanese forces during which world war?",Two,3,,
"In transport, a car used for teaching learners that can also be driven from the passenger seat by the instructor is knowl as duel what?",Control,3,,
"In 2008, Hugh Fearnley Whittingstall bought a single share in a supermarket chain in his welfair campaign for which animals? Pigs or chickens",Chickens,3,,1
"In men's clothing, a piece of a material sowed around the inside of a hat to protect it from the wearer's persperation is called a what band?",Sweat,3,,
"In sport, the American basketball player Irving Johnson became known by what nickname that is an alternative word for sourcery?",Magic Johnson,3,,
"In entertainment, what G is the fictional city that is the usual setting for the Batman series of comics, films and TV dramas?",Gotham,3,,
"In food and drink, which word for grilled bread is also a proposal of health to a person marked with raising glasses?",Toast,3,1,
"In geography, the two lines of chalk hills in south east England are known as the North and South what?",Downs,3,,1
"In pop music, the group Pendulum have a UK hit single in 2008 with what unusual title? Butane Dreams or Propane Nightmares",Propane Nightmares,3,,
"In maths, what is 78 + 47?",125,3,,
"In the books by Edgar Rice Burroughs, which human character was brought up by an ape called Kala?",Tarzan,3,,
"In the 17th century, which scientist is said to have discovered the principle of gravity when he saw an apple fall to the ground?",Isaac Newton,3,1,
"In social life, a lively party is often given what two word name derived from a cockney sock featuring Mother Brown?",Knees Up,3,,1
"In African wildlife, a striped coat is defining characteristic of which animal? A giraffe or zebra",Zebra,4,1,
Which French word meaning crib is used in English to refer to day nursary or a supervised play area for young children?,Crèche,4,,
"In contempoty art, what's the blood relationship between the two promenant British artists known as Jake and Dinos Chapman?",Brothers,4,,
"In Mexican cuisine, what G is the name of the popular dip made from mashed avocados mixed with onions and chillis?",Guacamole,4,,
"In cinema, the 1933 film King Kong, ends with the line ""It wasn't the aeroplanes it was beauty killed the"" what?",Beast,4,,
"On a standard dart board, which number it situated at the bottom directly opposite the 20?",3,4,,
"In pop music, Leo Fender and Les Paul were both pinoneers in creating electronic versions of which instrument?",Guitar,4,,
"In politics, during a party conference speech in 1980, Margaret Thatcher famously declared ""the lady's not for"" what?",Turning,4,,
"In customs, which item of cuttlery was traditionally carved from wood by Welshmen for their sweethearts?",Spoon,4,,
"In literature, the entries in the diary of Samuel Pepys frequently conclude with the phrase ""and so to"" what?",Bed,7,,
"In medicine, what B is the 6 letter term for the removal of tissue from the body for purposed of examination and diagnosis?",Biopsy,4,1,
"In a newspaper, in listings of the results of football matches, the abreviation OG after the name of the player is short for what?",Own goal,4,,
"In fashion, the signature look of the Italian designer Roberto Cavalli is a pattern of what? Animal prints or tartan",Animal prints,4,,
"In religion, Brahma, Shiva and Vishnu are three principal gods in which major faith?",Hinduism,4,1,
"In music, what D is the 5 letter term for a song of mourning and lamentation?",Dirge,5,,
